"Planet_number";"P_name";"star_idx";"Mass";"RELATIVE DENSITY";"RADIUS";"terrain type";"TYPE OF CLIMATE"
1;"Titanium Enigma Quintal";8224;2,17;0,581;1,55;"acid pool";"rocky:superheated:artificial temperate:artic:hot"
2;"Titanium Enigma Decimal";8224;2,23;0,993;1,31;"hill:vine:acid pool:cave";"frozen:frigid:hot:subartic:artic:arid:tropical"
3;"Titanium Enigma Nonal";8224;1,95;xx;1,32;"cityscape:cave:glacier:ice cave";"artic:subartic:frigid:frozen"
4;"Galehelm Sirenios";3541;4,31;1,185;1,54;"sinkholes:urban:cave";"rocky:hot:subartic"
5;"Oakenshield Kappa";4879;3,86;0,978;1,58;"vine";"rocky"
6;"Pherkad XIX";80;6,63;0,902;1,94;"rocky desert:river:rocky canyon:hill:ice canyon";"temperate:frigid:artic"
7;"Pherkad XXIV";80;6,95;0,952;1,94;"rocky island:river";"artic:subartic:humid:temperate:frigid:rocky:artificial temperate"
8;"Pherkad I";80;8,44;1,079;1,98;"jungle:ash";"temperate:superheated:humid:hot"
9;"Alderamin Titanos";8524;7,61;0,676;2,24;"scrubland:mountain:valley:rainforest";"superheated:arid:artificial temperate"
10;"Kagayaki Gamma";3765;2,21;0,654;1,5;"verdant:lakes";"subartic:tropical"
11;"Cerulean Abyss Typhonian";3670;6,93;xx;1,84;"plain:rainforest:ocean:acid pool:cave:canyons:fungus forest";"subartic:arid:humid:artic:superheated:frozen"
12;"Beid Duodecimal";2406;9,51;0,786;2,3;"cave:canyons:valley";"superheated:windy:rocky:artificial temperate:hot:subartic:frozen"
13;"Beid Quartal";2406;3,4;1,052;1,48;"ice canyon";"artic:windy"
14;"Nebula Whisper Quartal";6967;6,2;1,2;1,73;"jungle:swamp:cave:canyons:rocky island";"humid:temperate:frozen:rocky"
15;"Tevel Faunios";4760;2,32;1,537;1,15;"mountain:lava river:jungle";"temperate:hot:rocky:subartic"
16;"Stardrake Er";7363;2,6;1,021;1,37;"jungle:plateau:cliff:forest:river:lava river";"frozen:temperate:artificial temperate:subartic:tropical:arid"
17;"Stardrake Qi";7363;4,48;1,238;1,54;"acid pool:city:grassland:cliff";"humid:artic:artificial temperate:frigid"
18;"Stardrake Wu";7363;1,84;1,193;1,16;"reef:fungus forest:island";"hot:rocky"
